.thisTrialN,.stepSize,.intensity,time.onset,cue.color,.response,Target_Resp.rt,Trial.rewardType,Total_Earned,time.global,time.nominal,time.trial,time.plannedfixlength,time.actualfixlength,fMRI? (yes or no),date,expName,participant,frameRate,
0,6,13.0,8.02814912796,Green,1,0.367210865021,1,1,12.4790680408,12.4894271339,4.45019078255,0.477375074711,0.467064142227,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
1,6,7.0,12.4814090729,Blue,1,0.283852100372,-1,1,16.9629130363,16.9633408774,4.48095178604,0.467158674122,0.466777801514,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
2,3,1.0,16.9635791779,Blue,0,,-1,1,20.980025053,20.9916165613,4.01591205597,0.495038344725,0.483490943909,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
3,3,4.0,20.9806611538,Blue,1,0.217262983322,-1,1,25.030411005,25.0340525589,4.0492169857,0.503666349369,0.500066995621,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
4,3,4.0,25.0311300755,Blue,1,0.217129945755,-1,1,29.4475111961,29.4518019979,4.41593003273,0.48759792497,0.483354091644,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
5,3,1.0,29.4482340813,Green,1,0.167062997818,1,2,33.8146891594,33.8197869925,4.36600399017,0.488595929529,0.483541965485,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
6,2,1.0,33.8155059814,Blue,0,,-1,2,38.148416996,38.1546521932,4.3324649334,0.489994123566,0.483803033829,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
7,2,3.0,38.1490261555,Green,1,0.200560808182,1,3,42.2989051342,42.308720422,4.14934396744,0.493016314686,0.483253002167,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
8,2,3.0,42.2998540401,Green,1,0.200711965561,1,4,46.6155471802,46.6116925048,4.31516194344,0.495618419575,0.499534130096,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
9,1,1.0,46.6164550781,Green,0,,-1,4,50.9160220623,50.9150933716,4.2989449501,0.465427348376,0.466406106949,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
10,1,2.0,50.9178130627,Green,1,0.187419891357,1,5,55.200248003,55.2056953802,4.28190684319,0.488914240813,0.483511924744,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
